day,segment,segment_volume,unique_wallets,wallet_day_observations
2025-11-20 00:00:00+00:00,Mid,50840890.15327985,5213,5213
2025-11-20 00:00:00+00:00,Retail,18189211.371191885,15778,15778
2025-11-20 00:00:00+00:00,Whale,958457593.3280104,3193,3193
2025-11-21 00:00:00+00:00,Mid,37002369.923516944,4338,4338
2025-11-21 00:00:00+00:00,Retail,11324206.934958067,15302,15302
2025-11-21 00:00:00+00:00,Whale,1302087471.137477,3505,3505
2025-11-22 00:00:00+00:00,Mid,11180191.534556864,2590,2590
2025-11-22 00:00:00+00:00,Retail,5665633.492916878,13242,13242
2025-11-22 00:00:00+00:00,Whale,335730685.93740535,2378,2378
2025-11-23 00:00:00+00:00,Mid,10263121.947943877,2462,2462
2025-11-23 00:00:00+00:00,Retail,5515236.143234526,12341,12341
2025-11-23 00:00:00+00:00,Whale,386097843.2385213,2332,2332
2025-11-24 00:00:00+00:00,Mid,14616203.447246576,4317,4317
2025-11-24 00:00:00+00:00,Retail,6971889.410488288,14626,14626
2025-11-24 00:00:00+00:00,Whale,487969329.6853465,2724,2724
2025-11-25 00:00:00+00:00,Mid,15498286.629638972,3135,3135
2025-11-25 00:00:00+00:00,Retail,6873365.665178268,14499,14499
2025-11-25 00:00:00+00:00,Whale,433939201.0469772,2583,2583
2025-11-26 00:00:00+00:00,Mid,14277892.873463422,3157,3157
2025-11-26 00:00:00+00:00,Retail,6534995.261813896,14136,14136
2025-11-26 00:00:00+00:00,Whale,424163279.4829878,2635,2635
2025-11-27 00:00:00+00:00,Mid,16011356.433736108,2964,2964
2025-11-27 00:00:00+00:00,Retail,5862776.115153917,14334,14334
2025-11-27 00:00:00+00:00,Whale,436500261.34362835,2481,2481
2025-11-28 00:00:00+00:00,Mid,15633710.28628133,3025,3025
2025-11-28 00:00:00+00:00,Retail,7109851.851941774,16254,16254
2025-11-28 00:00:00+00:00,Whale,410249177.62113297,2442,2442
2025-11-29 00:00:00+00:00,Mid,9877392.452128574,2337,2337
2025-11-29 00:00:00+00:00,Retail,4917137.514600883,12675,12675
2025-11-29 00:00:00+00:00,Whale,250688974.71478236,2052,2052
2025-11-30 00:00:00+00:00,Mid,9684251.717482755,2333,2333
2025-11-30 00:00:00+00:00,Retail,4611167.754695331,11671,11671
2025-11-30 00:00:00+00:00,Whale,221924532.49860367,2002,2002
2025-12-01 00:00:00+00:00,Mid,20992696.177217357,3649,3649
2025-12-01 00:00:00+00:00,Retail,8458419.060135722,16113,16113
2025-12-01 00:00:00+00:00,Whale,715219566.6329296,3015,3015
2025-12-02 00:00:00+00:00,Mid,15298264.410135984,3114,3114
2025-12-02 00:00:00+00:00,Retail,7276895.628726256,15801,15801
2025-12-02 00:00:00+00:00,Whale,501320104.1720489,2742,2742
2025-12-03 00:00:00+00:00,Mid,18343366.998304576,3371,3371
2025-12-03 00:00:00+00:00,Retail,7547965.464808526,15939,15939
2025-12-03 00:00:00+00:00,Whale,496131787.5895533,2823,2823
2025-12-04 00:00:00+00:00,Mid,16384961.91018964,3039,3039
2025-12-04 00:00:00+00:00,Retail,6836661.822827862,14509,14509
2025-12-04 00:00:00+00:00,Whale,451185824.73384565,2572,2572
2025-12-05 00:00:00+00:00,Mid,14713437.900540842,2965,2965
2025-12-05 00:00:00+00:00,Retail,6235276.35398967,15192,15192
2025-12-05 00:00:00+00:00,Whale,489925644.3261811,2541,2541
2025-12-06 00:00:00+00:00,Mid,8219054.779495924,2256,2256
2025-12-06 00:00:00+00:00,Retail,4564370.083037118,12236,12236
2025-12-06 00:00:00+00:00,Whale,178971264.31927305,1989,1989
2025-12-07 00:00:00+00:00,Mid,8553112.059426103,2043,2043
2025-12-07 00:00:00+00:00,Retail,4177264.6103340415,8875,8875
2025-12-07 00:00:00+00:00,Whale,364565267.8704293,2179,2179
2025-12-08 00:00:00+00:00,Mid,11793198.210662033,2426,2426
2025-12-08 00:00:00+00:00,Retail,5105451.588218487,10619,10619
2025-12-08 00:00:00+00:00,Whale,418096395.3294275,2232,2232
2025-12-09 00:00:00+00:00,Mid,16509415.606966764,2985,2985
2025-12-09 00:00:00+00:00,Retail,6460526.526138402,11242,11242
2025-12-09 00:00:00+00:00,Whale,611484092.1342385,2596,2596
2025-12-10 00:00:00+00:00,Mid,15841798.220043525,3103,3103
2025-12-10 00:00:00+00:00,Retail,6368762.821328108,20078,20078
2025-12-10 00:00:00+00:00,Whale,582017177.9171066,2590,2590
2025-12-11 00:00:00+00:00,Mid,13664408.989471877,3006,3006
2025-12-11 00:00:00+00:00,Retail,6221415.520513272,13392,13392
2025-12-11 00:00:00+00:00,Whale,552508312.4092517,2583,2583
2025-12-12 00:00:00+00:00,Mid,12780640.210690266,2724,2724
2025-12-12 00:00:00+00:00,Retail,5620235.737442964,11731,11731
2025-12-12 00:00:00+00:00,Whale,411763300.08453554,2520,2520
2025-12-13 00:00:00+00:00,Mid,8902900.519460397,2167,2167
2025-12-13 00:00:00+00:00,Retail,4768880.339626652,11254,11254
2025-12-13 00:00:00+00:00,Whale,181582358.8707465,1954,1954
2025-12-14 00:00:00+00:00,Mid,8651007.275140999,2320,2320
2025-12-14 00:00:00+00:00,Retail,4385096.081814888,10413,10413
2025-12-14 00:00:00+00:00,Whale,226706687.60027322,2131,2131
2025-12-15 00:00:00+00:00,Mid,15712432.00034621,3107,3107
2025-12-15 00:00:00+00:00,Retail,6937366.072742827,13138,13138
2025-12-15 00:00:00+00:00,Whale,509856675.9129196,2806,2806
2025-12-16 00:00:00+00:00,Mid,13595126.577568674,2876,2876
2025-12-16 00:00:00+00:00,Retail,6536320.4365196135,13040,13040
2025-12-16 00:00:00+00:00,Whale,406051456.27397853,2573,2573
2025-12-17 00:00:00+00:00,Mid,15990155.778046608,3035,3035
2025-12-17 00:00:00+00:00,Retail,7119429.335559663,12929,12929
2025-12-17 00:00:00+00:00,Whale,552334497.8783934,2620,2620
2025-12-18 00:00:00+00:00,Mid,15760122.446567258,3106,3106
2025-12-18 00:00:00+00:00,Retail,6507085.709248004,12497,12497
2025-12-18 00:00:00+00:00,Whale,579944163.6261824,2748,2748
2025-12-19 00:00:00+00:00,Mid,13106091.535445496,3006,3006
2025-12-19 00:00:00+00:00,Retail,6257588.944292721,15099,15099
2025-12-19 00:00:00+00:00,Whale,529608460.34886634,2506,2506
2025-12-20 00:00:00+00:00,Mid,6194307.833339445,2052,2052
2025-12-20 00:00:00+00:00,Retail,4426788.821999217,12397,12397
2025-12-20 00:00:00+00:00,Whale,137754221.25976336,1771,1771
2025-12-21 00:00:00+00:00,Mid,7433735.087911704,1985,1985
2025-12-21 00:00:00+00:00,Retail,3588429.1331702266,10529,10529
2025-12-21 00:00:00+00:00,Whale,223112164.6035401,1972,1972
2025-12-22 00:00:00+00:00,Mid,12699588.60226487,2615,2615
2025-12-22 00:00:00+00:00,Retail,5381220.1049813,12280,12280
2025-12-22 00:00:00+00:00,Whale,398227411.9282037,2165,2165
2025-12-23 00:00:00+00:00,Mid,10329328.418506071,2446,2446
2025-12-23 00:00:00+00:00,Retail,5044369.511895939,11968,11968
2025-12-23 00:00:00+00:00,Whale,348140390.7296113,2054,2054
2025-12-24 00:00:00+00:00,Mid,11692364.160196437,2392,2392
2025-12-24 00:00:00+00:00,Retail,4488158.354046927,10985,10985
2025-12-24 00:00:00+00:00,Whale,233720798.26057756,1847,1847
2025-12-25 00:00:00+00:00,Mid,7091621.979522781,1912,1912
2025-12-25 00:00:00+00:00,Retail,3692426.4589072866,9925,9925
2025-12-25 00:00:00+00:00,Whale,169411532.50209078,1731,1731
2025-12-26 00:00:00+00:00,Mid,10528898.127106871,2384,2384
2025-12-26 00:00:00+00:00,Retail,4262235.6430219,11176,11176
2025-12-26 00:00:00+00:00,Whale,313399575.3886803,1939,1939
2025-12-27 00:00:00+00:00,Mid,6655689.987860869,1930,1930
2025-12-27 00:00:00+00:00,Retail,3825649.815788501,10471,10471
2025-12-27 00:00:00+00:00,Whale,114493233.38741691,1582,1582
2025-12-28 00:00:00+00:00,Mid,7198349.2296328135,1934,1934
2025-12-28 00:00:00+00:00,Retail,3567897.822487287,10006,10006
2025-12-28 00:00:00+00:00,Whale,157293607.3491205,1672,1672
2025-12-29 00:00:00+00:00,Mid,12809755.220183665,2671,2671
2025-12-29 00:00:00+00:00,Retail,5226191.425608985,11263,11263
2025-12-29 00:00:00+00:00,Whale,449269727.02373046,2100,2100
2025-12-30 00:00:00+00:00,Mid,12039755.91110003,2595,2595
2025-12-30 00:00:00+00:00,Retail,5779539.275269407,12148,12148
2025-12-30 00:00:00+00:00,Whale,305549373.79500717,1914,1914
2025-12-31 00:00:00+00:00,Mid,13877422.083155775,2651,2651
2025-12-31 00:00:00+00:00,Retail,5792519.136709192,11896,11896
2025-12-31 00:00:00+00:00,Whale,259932152.09204373,1984,1984
2026-01-01 00:00:00+00:00,Mid,10794748.025011571,2439,2439
2026-01-01 00:00:00+00:00,Retail,4583919.665690452,10354,10354
2026-01-01 00:00:00+00:00,Whale,147619466.12770852,1699,1699
2026-01-02 00:00:00+00:00,Mid,16663227.013168694,3076,3076
2026-01-02 00:00:00+00:00,Retail,5729644.714404805,11915,11915
2026-01-02 00:00:00+00:00,Whale,409740042.84050715,2106,2106
2026-01-03 00:00:00+00:00,Mid,10375168.375360651,2628,2628
2026-01-03 00:00:00+00:00,Retail,4710944.5868740985,11469,11469
2026-01-03 00:00:00+00:00,Whale,195570256.48623502,1803,1803
2026-01-04 00:00:00+00:00,Mid,10295284.174113724,2687,2687
2026-01-04 00:00:00+00:00,Retail,8145736.987140856,14419,14419
2026-01-04 00:00:00+00:00,Whale,224508792.31588814,1871,1871
2026-01-05 00:00:00+00:00,Mid,16262173.565826796,3255,3255
2026-01-05 00:00:00+00:00,Retail,10248322.349269954,15892,15892
2026-01-05 00:00:00+00:00,Whale,452519091.4885249,2213,2213
2026-01-06 00:00:00+00:00,Mid,18117545.559923194,3507,3507
2026-01-06 00:00:00+00:00,Retail,9741501.525851471,17695,17695
2026-01-06 00:00:00+00:00,Whale,500679216.89191043,2413,2413
2026-01-07 00:00:00+00:00,Mid,16767334.689973984,3324,3324
